"gene" "lasso.as.is" "lasso.log2" "lasso.asinh" "bs.as.is" "bs.log2" "bs.asinh" "rf.as.is" "rf.log2" "rf.asinh" "gene.cor"
"40" "TCF7" NA NA -0.0161732399689766 0.0753999160809476 -3.23551065870151e-05 -0.000274317781610931 67294.9747119986 0.93471823506014 0.512647861043946 -0.662443031135632
"13" "NFE2L2" -0.311765473659782 -0.115148263993368 NA -0.50580647949532 -0.000111848857302606 -0.0520245415573441 17027.7716097873 0.61751185211223 0.37276037792192 -0.638381959601868
"18" "CUX2" 0.00032968337691893 0.102612677108713 0.0640205407649116 0.696664695488013 9.5729846079963e-05 0.218294934253619 11901.5528692999 4.20194125048477 2.23903433039815 0.627650426797856
"15" "SOX12" -0.109579163619679 NA -0.0851708031871164 0.0127219500313114 -5.42169690737205e-05 -5.4395507945552e-05 75668.9846252455 1.80326344111647 0.758927077991139 -0.624045713188384
"10" "HOMEZ" -0.772385902452457 -0.0670286177985446 NA -3.53131030013299 -0.000115955886868813 -0.000639326442929803 2370.47151991951 0.132068860442456 0.114458206584815 -0.58326685690218
"17" "ARX" 0.0141418778573356 0.0386466736765934 NA 0.0832772787501146 0.137524620475533 6.46096024834631e-05 6325.54479553153 0.462456231799286 0.222084287776589 0.577430441854664
"41" "STAT5A" NA NA NA -5.53526233048011 -1.37776100932792e-05 5.68307042008836e-05 2692.3611096812 0.417200622425798 0.190275575489452 -0.574647484935944
"26" "FOXO4" NA -0.0527667560560019 -0.0530658886140563 -0.00293509245366671 -0.000144901583894219 -0.000543375726353949 116772.95597913 3.01466005451388 1.35717075764109 -0.556454981548237
"34" "SOX8" NA 0.0114704744659666 NA 0.00143884358232128 -0.125380987629307 -1.96622102355962e-05 2746.34553606104 0.114194196643764 0.0428372372945931 -0.541177158573415
"20" "FOXK2" NA 0.212842038418849 NA 0.00767655209331291 0.000219226672688467 0.000159132664637634 2011.79016318087 0.217531968771228 0.0759904473776388 0.532329146340055
"28" "TAF1" NA -0.0393262394488684 NA -0.0475989252379778 -0.000230558260430102 -0.198964800307708 2209.7952952149 0.0701667260175174 0.0358873900496348 -0.478000231280398
"16" "STAT1" 0.0979817557697956 0.0645088364786784 0.0626630466630999 0.0428929731413215 4.84062766019957e-05 0.11168857932455 47553.7704301541 1.55918371668472 0.803749154346282 0.447911014575898
"24" "ZHX3" NA -0.112089135653508 NA -0.00525623976498887 -0.350739123278241 -0.000859848187613758 1550.22230169808 0.0757756550300947 0.0381202516061697 -0.434100511728872
"35" "POU4F1" NA -0.00712624191240315 NA 24.5653611440614 -3.10742364747819e-05 -0.00037047802104291 2646.87114215282 0.105536285369607 0.0728227429314571 -0.407693231977153
"21" "STAT5B" NA -0.190234334334453 -0.0904650775420142 -0.00254084943776259 -0.000326441339658141 -0.000168613948268521 2127.38189504386 0.105465046473961 0.0866616378811021 -0.374526218076438
"37" "FOXM1" NA -0.00297669137998463 NA -5.42234204594137 1.0657929644618e-05 -3.97970451960521e-05 11827.7671551109 0.311168883091597 0.137903789341515 -0.3631070067564
"6" "NFE2L3" -2.24363253218769 0.000224585512282498 -0.0286644147500923 -3.35972514287546 -2.87705525016042e-05 -0.0001053563941584 2684.2717431997 0.996063990387127 0.290689464211521 -0.339319858925943
"33" "FOXL1" NA -0.0126632972542991 NA -18.0189477141707 -8.5714762010689e-05 -0.000130659917298966 1217.35507314978 0.0353802079232807 0.03461886775272 -0.287852649026717
"38" "RAX2" NA 0.000480706892686262 -0.0792832297358359 5.68874133808847 -2.85334708949241e-06 -0.000257085490088715 8371.49210398076 0.202304410467457 0.0877258186690627 -0.281065440893693
"7" "SOX15" -1.7756051858608 -0.0657043208177548 -0.00316273114505607 -6.86723774250734 -0.13623697757896 -0.000203520182630758 2727.39771416548 0.155159796085452 0.0506214782450029 -0.260625145857677
"32" "FOXD4L6" NA 0.0137589230430537 NA 26.8214267721466 0.00272106073722608 4.05880446966309e-06 2550.85204279389 0.285626585720888 0.0495470360127862 0.242494489832696
"19" "CUX1" NA 0.222736645088182 NA 0.791032543784717 0.267314531366233 0.000413198161500247 1998.24412724195 0.0746197988577531 0.0254448251600667 -0.147890657895886
"43" "SOX5" NA NA NA 0.0160662666375206 0.142927442858623 9.09498951492127e-05 1025.10012913017 0.116056716575562 0.0600031871004326 0.139167441267979
"22" "FOXK1" NA -0.134340679500364 NA -0.434300552827817 0.000137272075779267 2.64471067472254e-05 1574.97165048809 0.0450443596541607 0.0295087327697235 0.119517786928039
"3" "FOXD4" -5.83052875430424 -0.00633787634380067 NA -1.21999678689889 -0.000193264563767177 -0.000752824220617384 6421.0328523541 0.20183865762727 0.0585067956222946 -0.115987686961476
"39" "OTX2" NA NA -0.0214701343909954 -6.81499507402686 -3.86797885935664e-05 -0.275456804993023 1147.81982684838 0.0650119640861552 0.0219388900902133 -0.111147570011995
"30" "FOXP3" NA 0.0156151243654425 NA 4.2851925525321 0.00108386202275655 0.114772646146474 1674.35002152052 0.0863739221363646 0.0338636815895606 -0.107246173465096
"2" "FOXD4L1" -9.16606452228873 -0.011864695710113 -0.00178768170565374 0.46524470956935 -1.02875718684795e-06 -0.0612093687474543 4715.22007941366 0.176191629177851 0.0823991408558615 -0.105090031945473
"31" "ZBTB16" NA -0.0146611281652721 NA -0.00839401544535862 -0.114182644599631 -0.081111020930594 1662.27179969474 0.0716447870688672 0.0289295709285844 0.0629619716824134
"27" "ESRRB" NA -0.0516934103867734 NA -29.9605472791171 -0.000103021054162301 -0.000473530277178239 1755.56010063461 0.0722915846882296 0.0441903856312513 -0.0348591275213434
